id пользователя;Вильямс;Шварц;Медник;Триандис;Друзья;Подписки;Подписки образование;Подписки опасные;% Подписки образование;% Подписки опасные;9_иностранные языки;8_философия;12_психология/педагогика;10_история/обществознание;7_филология/литература;5_техника и технологии;11_искусство/культура;4_математика;2_науки о земле;4_информатика;6_физика;3_химия;1_биология/медицина;3_16_юриспруденция;Преступный контент;Самоповреждающее поведение;Эстетика зла;Ненависть и агрессия и агрессия;Оружие ;Психоактивные вещества;Национализм;Депрессивный контент;Субкультура True Crime;Вульгарный контент;Суицидальный контент;Жестокий контент;Эстетика смерти;Оружие
6043;2;1;1;2;306;27;1;0;3,7%;0,0%;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6038;2;1;1;3;445;77;0;2;0,0%;2,6%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
6036;2;1;1;1;153;209;10;5;4,8%;2,4%;1;0;3;1;2;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0
6044;2;2;1;1;271;66;1;2;1,5%;3,0%;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
6037;2;2;2;2;129;106;0;2;0,0%;1,9%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
6040;2;2;1;2;74;165;7;2;4,2%;1,2%;1;0;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
6050;2;2;3;2;181;83;0;3;0,0%;3,6%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
6048;2;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6051;2;3;1;1;146;93;1;1;1,1%;1,1%;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6047;3;2;3;1;77;26;1;0;3,8%;0,0%;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6049;2;3;1;2;147;212;1;4;0,5%;1,9%;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0
6052;2;2;2;3;0;75;1;4;1,3%;5,3%;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
6053;2;3;3;1;520;47;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6054;2;3;3;2;164;312;1;11;0,3%;3,5%;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;4;0;0;0;0
6034;1;1;2;3;58;11;0;2;0,0%;18,2%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
6055;2;1;2;2;10;60;1;0;1,7%;0,0%;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6056;1;2;2;1;444;471;32;7;6,8%;1,5%;5;3;3;2;5;5;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;2;0;1;1;0
6064;3;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6057;2;2;3;2;113;237;15;6;6,3%;2,5%;0;0;5;0;7;1;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0
6062;2;1;2;3;472;48;4;0;8,3%;0,0%;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6059;2;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6061;2;1;3;1;111;65;1;0;1,5%;0,0%;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6072;2;3;2;3;133;80;4;0;5,0%;0,0%;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6060;3;2;2;2;133;81;0;4;0,0%;4,9%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
6065;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6058;3;2;1;2;467;78;2;1;2,6%;1,3%;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6071;2;2;2;1;199;341;11;9;3,2%;2,6%;0;0;0;0;1;3;1;2;0;0;0;1;3;0;0;0;1;0;0;1;1;0;0;1;0;5;0;0
6066;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6069;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6067;2;2;2;2;207;310;13;11;4,2%;3,5%;2;0;5;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;5;0;4;1;0;0;0
6063;2;3;2;3;52;46;0;6;0,0%;13,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;1;0;0
6073;2;2;3;1;495;100;3;3;3,0%;3,0%;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0
6070;2;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6068;2;2;3;2;36;22;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6074;2;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6075;2;2;3;3;258;88;2;1;2,3%;1,1%;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6084;2;3;2;3;132;278;1;25;0,4%;9,0%;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;5;2;1;5;1;2;1;0;0;2;0
6076;2;2;2;1;129;31;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6080;2;1;3;2;258;103;4;4;3,9%;3,9%;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
6082;2;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6081;2;3;3;1;264;657;46;28;7,0%;4,3%;4;9;8;1;8;1;5;1;1;0;1;1;6;0;0;3;0;2;2;0;0;15;0;4;1;0;1;0
6079;3;3;3;2;221;88;2;2;2,3%;2,3%;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6078;2;1;2;1;367;264;7;1;2,7%;0,4%;3;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6083;2;3;1;2;190;15;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6091;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6089;1;2;3;2;81;53;3;1;5,7%;1,9%;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6086;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6090;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
889;2;1;1;2;164;84;4;2;4,8%;2,4%;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6093;2;3;3;2;75;45;2;0;4,4%;0,0%;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6094;2;1;2;2;87;47;0;3;0,0%;6,4%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
6092;2;2;2;3;159;244;5;4;2,0%;1,6%;0;0;2;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0
6099;2;1;1;2;91;61;0;1;0,0%;1,6%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6096;2;3;1;2;389;180;2;1;1,1%;0,6%;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6095;2;2;3;2;77;2;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6101;2;1;3;2;214;238;8;7;3,4%;2,9%;2;0;0;0;3;1;1;0;0;0;0;0;1;0;0;1;1;2;0;0;0;2;0;1;0;0;0;0
6097;3;3;1;2;527;27;2;0;7,4%;0,0%;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6098;2;2;1;2;99;202;9;11;4,5%;5,4%;1;0;0;0;2;4;1;0;0;0;1;0;0;0;0;1;1;6;1;0;0;0;1;0;0;1;0;0
6100;2;2;2;3;73;69;1;5;1,4%;7,2%;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0
6102;2;2;;2;237;153;19;5;12,4%;3,3%;3;2;3;0;1;0;2;2;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0
6103;2;1;3;1;102;74;4;5;5,4%;6,8%;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
6104;2;2;2;2;0;0;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6077;3;3;2;2;92;102;2;0;2,0%;0,0%;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6088;3;2;3;2;91;75;11;1;14,7%;1,3%;1;2;4;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6107;3;2;3;1;208;153;1;7;0,7%;4,6%;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0
6105;3;2;2;2;402;346;3;8;0,9%;2,3%;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;0
